"row","country","prob","escs","math","reading","science"
"106","Greece",0.2,-0.93,409.14475,435.3978,424.3659
"107","Greece",0.4,-0.38,435.31705,471.30785,453.9724
"108","Greece",0.6,0.24,446.8453,487.19405,463.3439
"109","Greece",0.8,0.96,473.7576,501.3725,490.0597
"110","Greece",1,3.27,509.78345,531.5563,519.1067
"111","Hong Kong-China",0.2,-1.68,530.65895,523.3311,535.7982
"112","Hong Kong-China",0.4,-1.16,558.07755,547.6955,555.61355
"113","Hong Kong-China",0.6,-0.59,568.3206,556.0751,565.6844
"114","Hong Kong-China",0.8,0.11,582.1078,563.8998,575.8952
"115","Hong Kong-China",1,2.02,614.5116,583.2364,596.3633
"116","Croatia",0.2,-1.05,430.4876,455.3945,457.8422
"117","Croatia",0.4,-0.66,454.75155,477.4217,479.2428
"118","Croatia",0.6,-0.25,463.7872,479.7855,484.6512
"119","Croatia",0.8,0.46,475.0039,497.71865,494.9086
"120","Croatia",1,2.59,521.3507,541.5087,536.5442
"121","Hungary",0.2,-1.05,425.61925,444.2192,447.818
"122","Hungary",0.4,-0.54,465.73455,487.99745,486.5162
"123","Hungary",0.6,0.03,479.2881,498.0126,502.04215
"124","Hungary",0.8,0.76,501.2541,522.0246,527.3592
"125","Hungary",1,2.45,546.9777,558.68195,564.2857
"126","Indonesia",0.2,-2.75,353.1002,382.4293,365.2928
"127","Indonesia",0.4,-2.19,363.2264,390.58695,371.68035
"128","Indonesia",0.6,-1.59,364.94,394.3789,375.2704
"129","Indonesia",0.8,-0.79,378.3767,401.84015,385.3413
"130","Indonesia",1,1.88,407.5479,428.21845,412.8963
"131","Ireland",0.2,-0.65,457.322,477.3796,474.4405
"132","Ireland",0.4,-0.12,481.0017,503.08025,504.32675
"133","Ireland",0.6,0.42,502.61725,527.06445,523.90895
"134","Ireland",0.8,0.94,519.0139,545.261,543.53785
"135","Ireland",1,2.56,551.184,576.8208,576.9675
"136","Iceland",0.2,0.03,461.2946,460.0684,447.3517
"137","Iceland",0.4,0.63,478.3533,475.8354,460.0802
"138","Iceland",0.6,1.14,485.5196,483.7952,470.1044
"139","Iceland",0.8,1.5,519.7928,517.219,518.3607
"140","Iceland",1,2.87,533.0737,520.80125,520.2723
"141","Israel",0.2,-0.56,401.4722,441.0515,417.6986
"142","Israel",0.4,0.06,443.6127,480.641,450.3357
"143","Israel",0.6,0.52,466.0461,497.9896,471.6897
